player_id,name,pos,off_war,pit_war,fld_war,total_war
borur001,Ryan Borucki,P,0.0,-9.174198203254491e-05,0.0,-9.174198e-05
altuj001,Jose Altuve,2B,0.1198890432715416,0.0,0.0,0.11988904
freek001,Kyle Freeland,P,0.0,-0.03737252578139305,0.0,-0.037372526
delac001,Chase DeLauter,RF,0.09273948520421982,0.0,0.0,0.092739485
bensw001,Will Benson,RF,-0.004891241900622845,0.0,0.0,-0.004891242
bruij001,Justin Bruihl,P,0.0,-0.07491731643676758,0.0,-0.07491732
x680802,Ryan Weiss,P,0.0,0.044795285910367966,0.0,0.044795286
allen002,Nick Allen,SS,-0.0030243578366935253,0.0,0.0,-0.0030243578
blisr001,Ryan Bliss,2B,-0.005151883698999882,0.0,0.0,-0.0051518837
palar002,Richie Palacios,2B,-0.012834638357162476,0.0,0.0,-0.012834638
pomed001,Drew Pomeranz,P,0.0,-0.04881325364112854,0.0,-0.048813254
grayt001,Tristan Gray,3B,0.0013492703437805176,0.0,0.0,0.0013492703
naylb001,Bo Naylor,C,-0.06066841632127762,0.0,0.0,-0.060668416
holdc001,Colin Holderman,P,0.0,-0.06342683732509613,0.0,-0.06342684
ashcb001,Braxton Ashcraft,P,0.0,-0.015604810789227486,0.0,-0.015604811
canzd001,Dominic Canzone,RF,0.033962782472372055,0.0,0.0,0.033962782
schwk001,Kyle Schwarber,LF,0.013354246504604816,0.0,0.0,0.0133542465
messp001,Parker Messick,P,0.0,0.15840843319892883,0.0,0.15840843
canoy001,Yennier Cano,P,0.0,-0.06700147688388824,0.0,-0.06700148
oviej001,Johan Oviedo,P,0.0,-0.10697291046380997,0.0,-0.10697291
bernb001,Brennan Bernardino,P,0.0,-0.049269743263721466,0.0,-0.049269743
ariag002,Gabriel Arias,SS,-0.04216118901968002,0.0,0.0,-0.04216119
peraf001,Freddy Peralta,P,0.0,-0.07260651886463165,0.0,-0.07260652
davih001,Henry Davis,C,-0.02327573299407959,0.0,0.0,-0.023275733
blacp001,Paul Blackburn,P,0.0,0.001832820475101471,0.0,0.0018328205
tavel001,Leody Taveras,CF,-0.003395248204469681,0.0,0.0,-0.0033952482
crowp001,Pete Crow-Armstrong,CF,0.08045326173305511,0.0,0.0,0.08045326
mikom001,Miles Mikolas,P,0.0,-0.18160487711429596,0.0,-0.18160488
espis001,Santiago Espinal,3B,-0.006349967326968908,0.0,0.0,-0.0063499673
roycc001,Chris Roycroft,P,0.0,-0.1952989399433136,0.0,-0.19529894
earlc001,Connelly Early,P,0.0,-0.03686721995472908,0.0,-0.03686722
loweb001,Brandon Lowe,2B,-0.03578866273164749,0.0,0.0,-0.035788663
reynb001,Bryan Reynolds,LF,-0.05124948173761368,0.0,0.0,-0.05124948
