player_id,name,last_year,team,teams,pos,off_runs_per_inning,pit_runs_per_inning,fld_runs_per_inning,off_innings,pit_innings,fld_innings,off_raa,pit_raa,fld_raa,total_raa,off_war,pit_war,fld_war,total_war,seasons_played,first_year,last_year_played,off_war_per_season,pit_war_per_season,fld_war_per_season,total_war_per_season,off_war_full_season_rate,pit_war_full_season_rate,fld_war_full_season_rate,pos_group,off_pos_z,fld_pos_z,pit_pos_z
schlc001,Cam Schlittler,2026.0,NYY,NYY,P,,0.058032914996147156,,0,56,0,,3.2498432397842407,,3.2498432397842407,,0.3249843239784241,,0.3249843239784241,1,2026,2026,,0.3249843239784241,,0.3249843239784241,,1.1606582999229431,,P,,,
sorij002,José Soriano,2026.0,LAA,LAA,P,,0.053577180951833725,,0,55,0,,2.946744952350855,,2.946744952350855,,0.2946744952350855,,0.2946744952350855,1,2026,2026,,0.2946744952350855,,0.2946744952350855,,1.0715436190366745,,P,,,
martd006,Davis Martin,2026.0,CWS,CWS,P,,0.056494928896427155,,0,51,0,,2.881241373717785,,2.881241373717785,,0.2881241373717785,,0.2881241373717785,1,2026,2026,,0.2881241373717785,,0.2881241373717785,,1.129898577928543,,P,,,
eldeb001,Bryce Elder,2026.0,ATL,ATL,P,,0.048949867486953735,,0,56,0,,2.741192579269409,,2.741192579269409,,0.2741192579269409,,0.2741192579269409,1,2026,2026,,0.2741192579269409,,0.2741192579269409,,0.9789973497390747,,P,,,
sancc002,Cristopher Sánchez,2026.0,PHI,PHI,P,,0.04464344680309296,,0,58,0,,2.5893199145793915,,2.5893199145793915,,0.25893199145793916,,0.25893199145793916,1,2026,2026,,0.25893199145793916,,0.25893199145793916,,0.8928689360618591,,P,,,
martn002,Nick Martinez,2026.0,TB,TB,P,,0.0475400947034359,,0,50,0,,2.377004735171795,,2.377004735171795,,0.2377004735171795,,0.2377004735171795,1,2026,2026,,0.2377004735171795,,0.2377004735171795,,0.950801894068718,,P,,,
holmc001,Clay Holmes,2026.0,NYM,NYM,P,,0.046748314052820206,,0,50,0,,2.3374157026410103,,2.3374157026410103,,0.23374157026410103,,0.23374157026410103,1,2026,2026,,0.23374157026410103,,0.23374157026410103,,0.9349662810564041,,P,,,
burnc003,Chase Burns,2026.0,CIN,CIN,P,,0.04403632506728172,,0,50,0,,2.201816253364086,,2.201816253364086,,0.22018162533640862,,0.22018162533640862,1,2026,2026,,0.22018162533640862,,0.22018162533640862,,0.8807265013456345,,P,,,
salec001,Chris Sale,2026.0,ATL,ATL,P,,0.04359074681997299,,0,50,0,,2.1795373409986496,,2.1795373409986496,,0.21795373409986496,,0.21795373409986496,1,2026,2026,,0.21795373409986496,,0.21795373409986496,,0.8718149363994598,,P,,,
ohtas001,Shohei Ohtani,2026.0,LAD,LAD,TWP,0.0029612507205456495,0.043685346841812134,,175,37,0,0.5182188760954887,1.616357833147049,,2.1345767092425376,0.05182188760954887,0.1616357833147049,,0.21345767092425377,1,2026,2026,0.05182188760954887,0.1616357833147049,,0.21345767092425377,0.20728755043819547,0.8737069368362427,,TWP,,,
friem001,Max Fried,2026.0,NYY,NYY,P,,0.03475266695022583,,0,61,0,,2.1199126839637756,,2.1199126839637756,,0.21199126839637755,,0.21199126839637755,1,2026,2026,,0.21199126839637755,,0.21199126839637755,,0.6950533390045166,,P,,,
rodre004,Eduardo Rodriguez,2026.0,AZ,AZ,P,,0.04203745722770691,,0,50,0,,2.1018728613853455,,2.1018728613853455,,0.21018728613853455,,0.21018728613853455,1,2026,2026,,0.21018728613853455,,0.21018728613853455,,0.8407491445541382,,P,,,
bradt002,Taj Bradley,2026.0,MIN,MIN,P,,0.042424071580171585,,0,49,0,,2.0787795074284077,,2.0787795074284077,,0.20787795074284077,,0.20787795074284077,1,2026,2026,,0.20787795074284077,,0.20787795074284077,,0.8484814316034317,,P,,,
wachm001,Michael Wacha,2026.0,KC,KC,P,,0.03993441164493561,,0,52,0,,2.0765894055366516,,2.0765894055366516,,0.20765894055366516,,0.20765894055366516,1,2026,2026,,0.20765894055366516,,0.20765894055366516,,0.7986882328987122,,P,,,
mcgrm001,Michael McGreevy,2026.0,STL,STL,P,,0.04456023499369621,,0,46,0,,2.049770809710026,,2.049770809710026,,0.2049770809710026,,0.2049770809710026,1,2026,2026,,0.2049770809710026,,0.2049770809710026,,0.8912046998739243,,P,,,
kellm003,Mitch Keller,2026.0,PIT,PIT,P,,0.041634440422058105,,0,49,0,,2.040087580680847,,2.040087580680847,,0.20400875806808472,,0.20400875806808472,1,2026,2026,,0.20400875806808472,,0.20400875806808472,,0.8326888084411621,,P,,,
civaa001,Aaron Civale,2026.0,ATH,ATH,P,,0.045552127063274384,,0,43,0,,1.9587414637207985,,1.9587414637207985,,0.19587414637207984,,0.19587414637207984,1,2026,2026,,0.19587414637207984,,0.19587414637207984,,0.9110425412654877,,P,,,
griff001,Foster Griffin,2026.0,WSH,WSH,P,,0.03787849098443985,,0,48,0,,1.8181675672531128,,1.8181675672531128,,0.18181675672531128,,0.18181675672531128,1,2026,2026,,0.18181675672531128,,0.18181675672531128,,0.757569819688797,,P,,,
messp001,Parker Messick,2026.0,CLE,CLE,P,,0.03552982583642006,,0,49,0,,1.740961465984583,,1.740961465984583,,0.1740961465984583,,0.1740961465984583,1,2026,2026,,0.1740961465984583,,0.1740961465984583,,0.7105965167284012,,P,,,
wrobj001,Justin Wrobleski,2026.0,LAD,LAD,P,,0.03649301826953888,,0,45,0,,1.6421858221292496,,1.6421858221292496,,0.16421858221292496,,0.16421858221292496,1,2026,2026,,0.16421858221292496,,0.16421858221292496,,0.7298603653907776,,P,,,
skenp001,Paul Skenes,2026.0,PIT,PIT,P,,0.038108669221401215,,0,43,0,,1.6386727765202522,,1.6386727765202522,,0.16386727765202522,,0.16386727765202522,1,2026,2026,,0.16386727765202522,,0.16386727765202522,,0.7621733844280243,,P,,,
misij001,Jacob Misiorowski,2026.0,MIL,MIL,P,,0.03515272215008736,,0,46,0,,1.6170252189040184,,1.6170252189040184,,0.16170252189040185,,0.16170252189040185,1,2026,2026,,0.16170252189040185,,0.16170252189040185,,0.7030544430017471,,P,,,
kingm002,Michael King,2026.0,SD,SD,P,,0.0322546511888504,,0,49,0,,1.5804779082536697,,1.5804779082536697,,0.15804779082536696,,0.15804779082536696,1,2026,2026,,0.15804779082536696,,0.15804779082536696,,0.6450930237770081,,P,,,
kirbg001,George Kirby,2026.0,SEA,SEA,P,,0.028761666268110275,,0,54,0,,1.5531299784779549,,1.5531299784779549,,0.15531299784779548,,0.15531299784779548,1,2026,2026,,0.15531299784779548,,0.15531299784779548,,0.5752333253622055,,P,,,
ray-r002,Robbie Ray,2026.0,SF,SF,P,,0.030660144984722137,,0,48,0,,1.4716869592666626,,1.4716869592666626,,0.14716869592666626,,0.14716869592666626,1,2026,2026,,0.14716869592666626,,0.14716869592666626,,0.6132028996944427,,P,,,
gausk001,Kevin Gausman,2026.0,TOR,TOR,P,,0.029521062970161438,,0,49,0,,1.4465320855379105,,1.4465320855379105,,0.14465320855379105,,0.14465320855379105,1,2026,2026,,0.14465320855379105,,0.14465320855379105,,0.5904212594032288,,P,,,
harrk001,Kyle Harrison,2026.0,MIL,MIL,P,,0.039790358394384384,,0,36,0,,1.4324529021978378,,1.4324529021978378,,0.14324529021978377,,0.14324529021978377,1,2026,2026,,0.14324529021978377,,0.14324529021978377,,0.7958071678876877,,P,,,
weatr001,Ryan Weathers,2026.0,NYY,NYY,P,,0.033164698630571365,,0,43,0,,1.4260820411145687,,1.4260820411145687,,0.14260820411145686,,0.14260820411145686,1,2026,2026,,0.14260820411145686,,0.14260820411145686,,0.6632939726114273,,P,,,
ashcb001,Braxton Ashcraft,2026.0,PIT,PIT,P,,0.028452638536691666,,0,50,0,,1.4226319268345833,,1.4226319268345833,,0.14226319268345833,,0.14226319268345833,1,2026,2026,,0.14226319268345833,,0.14226319268345833,,0.5690527707338333,,P,,,
skubt001,Tarik Skubal,2026.0,DET,DET,P,,0.029962066560983658,,0,45,0,,1.3482929952442646,,1.3482929952442646,,0.13482929952442646,,0.13482929952442646,1,2026,2026,,0.13482929952442646,,0.13482929952442646,,0.5992413312196732,,P,,,
sprij001,Jeffrey Springs,2026.0,ATH,ATH,P,,0.028231490403413773,,0,46,0,,1.2986485585570335,,1.2986485585570335,,0.12986485585570334,,0.12986485585570334,1,2026,2026,,0.12986485585570334,,0.12986485585570334,,0.5646298080682755,,P,,,
bubik001,Kris Bubic,2026.0,KC,KC,P,,0.026859961450099945,,0,48,0,,1.2892781496047974,,1.2892781496047974,,0.12892781496047973,,0.12892781496047973,1,2026,2026,,0.12892781496047973,,0.12892781496047973,,0.5371992290019989,,P,,,
glast001,Tyler Glasnow,2026.0,LAD,LAD,P,,0.03213785961270332,,0,40,0,,1.285514384508133,,1.285514384508133,,0.1285514384508133,,0.1285514384508133,1,2026,2026,,0.1285514384508133,,0.1285514384508133,,0.6427571922540665,,P,,,
olsom001,Matt Olson,2026.0,ATL,ATL,1B,0.0069770198315382,,,183,0,0,1.2767946291714907,,,1.2767946291714907,0.12767946291714907,,,0.12767946291714907,1,2026,2026,0.12767946291714907,,,0.12767946291714907,0.488391388207674,,,1B,,,
degrj001,Jacob deGrom,2026.0,TEX,TEX,P,,0.02732062339782715,,0,46,0,,1.2567486763000488,,1.2567486763000488,,0.12567486763000488,,0.12567486763000488,1,2026,2026,,0.12567486763000488,,0.12567486763000488,,0.546412467956543,,P,,,
imans001,Shota Imanaga,2026.0,CHC,CHC,P,,0.025099214166402817,,0,50,0,,1.2549607083201408,,1.2549607083201408,,0.12549607083201408,,0.12549607083201408,1,2026,2026,,0.12549607083201408,,0.12549607083201408,,0.5019842833280563,,P,,,
lugos001,Seth Lugo,2026.0,KC,KC,P,,0.02483403868973255,,0,50,0,,1.2417019344866276,,1.2417019344866276,,0.12417019344866276,,0.12417019344866276,1,2026,2026,,0.12417019344866276,,0.12417019344866276,,0.49668077379465103,,P,,,
meyem001,Max Meyer,2026.0,MIA,MIA,P,,0.02844160795211792,,0,43,0,,1.2229891419410706,,1.2229891419410706,,0.12229891419410706,,0.12229891419410706,1,2026,2026,,0.12229891419410706,,0.12229891419410706,,0.5688321590423584,,P,,,
perem004,Martín Pérez,2026.0,ATL,ATL,P,,0.033818766474723816,,0,36,0,,1.2174755930900574,,1.2174755930900574,,0.12174755930900574,,0.12174755930900574,1,2026,2026,,0.12174755930900574,,0.12174755930900574,,0.6763753294944763,,P,,,
sevel001,Luis Severino,2026.0,ATH,ATH,P,,0.02333543449640274,,0,51,0,,1.1901071593165398,,1.1901071593165398,,0.11901071593165398,,0.11901071593165398,1,2026,2026,,0.11901071593165398,,0.11901071593165398,,0.4667086899280548,,P,,,
patrc001,Chad Patrick,2026.0,MIL,MIL,P,,0.029903469607234,,0,38,0,,1.136331845074892,,1.136331845074892,,0.1136331845074892,,0.1136331845074892,1,2026,2026,,0.1136331845074892,,0.1136331845074892,,0.59806939214468,,P,,,
vasqr001,Randy Vásquez,2026.0,SD,SD,P,,0.025048231706023216,,0,45,0,,1.1271704267710447,,1.1271704267710447,,0.11271704267710447,,0.11271704267710447,1,2026,2026,,0.11271704267710447,,0.11271704267710447,,0.5009646341204643,,P,,,
